央视,#genre#
深圳卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=szwshd&playseek=

海南卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=hainwshd&playseek=

三沙卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=sswshd&playseek=

厦门卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=xmws&playseek=

山西卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=sx1ws&playseek=

陕西卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=sx3ws&playseek=

宁夏卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=nxws&playseek=

青海卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=qhws&playseek=

西藏卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=xzws&playseek=

新疆卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=xjws&playseek=

兵团卫视,http://xvod.iptv8.com:8090/storage/channel/vod/vodheb.php?cid=btws&playseek=

浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8

西藏卫视,http://php.jdshipin.com/xztv.php?id=ws#http://php.jdshipin.com:8880/xztv.php?id=ws

西藏藏语卫视,http://php.jdshipin.com:8880/xztv.php?id=zy

蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880



港澳台,#genre#

星光综合,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

大爱一台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8

大爱二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8



省级,#genre#

浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8#https://ct-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8

浙江新闻,https://ct-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8

浙江国际,https://ct-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8#https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8

浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8

浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8

之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

内蒙古经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800

内蒙古文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800

内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800

内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800

蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800



其它,#genre#

直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8

CPTV综合,http://jsylivealone302.iqilu.com/live/chiping_tv01.m3u8#http://jsylivealone302.iqilu.com/live/chiping_tv01/index.m3u8

CPTV生活,http://jsylivealone302.iqilu.com/live/chiping_tv02.m3u8#http://jsylivealone302.iqilu.com/live/chiping_tv02/index.m3u8

潼南综合,http://183.230.184.51:65500/tntv1.m3u8

嘉定电视台,https://pili-live-hls.wdit.com.cn/wditlive/15472c98517744b994e85c9c60cc93cf6a3b.m3u8

泸州科教,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8

叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8

济宁综合,http://lives.jnnews.tv/video/s10001-JNTV-1/index.m3u8

济宁公共,http://lives.jnnews.tv/video/s10001-JNTV3/index.m3u8

滁州新闻综合,http://live.cztv.cc:85/live/xwpd.m3u8

民和综合,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8

化隆综合频道,http://livecdn.dmqhyadmin.com/hls/xjhualong.m3u8

门源综合频道,http://livecdn.dmqhyadmin.com/hls/xjmenyuan.m3u8

壶关综合频道,http://zmjp3jin.live.sxmty.com/live/hls/268fe96f955d496db37fb10bb887cda9/fc196029d289449ea524a94a95379a0d.m3u8

怀仁综合频道,http://1yp7hc5p.live.sxmty.com/live/hls/bff8529922344209985b6e49baa9555a/efa2543628fc4a7ea93d3d6c975f77dc.m3u8

平遥综合频道,https://tntgjhjb.live.sxmty.com/live/hls/3a4585ac11ec4e1bb07b419101b370c3/baf63e2b313440c2a25d7859f9b73b05-1.m3u8

武乡综合频道,http://uzoiczhh.live.sxmty.com/live/hls/0d41f1480c4042d49927858f01fde707/53130407737b417b9a6259b57246bae3.m3u8

阳曲综合频道,https://83awgyp5.live.sxmty.com/live/hls/6f6f4b36f9bd42628b718b595ba507ed/724b7e8907a8414d873eb2a2f69bfa18.m3u8

南县综合频道,http://hnstnx.chinashadt.com:2037/live/10001.stream/chunklist_w649678981.m3u8#http://hnstnx.chinashadt.com:2037/live/10001.stream/playlist.m3u8

来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8

七星关综合频道,https://p8.vzan.com:443/slowlive/147077707554082780/live.m3u8

克拉玛依综合频道,http://klmysjtzb.rcsxzx.com/hls/klmy1.m3u8

缙云电视台,http://l.cztvcloud.com:80/channels/lantian/SXjinyun1/720p.m3u8

平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8

萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8

诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8

上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8

文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8

象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8

龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8

龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8

衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8

缙云综合频道,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8

龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8

庆元综合频道,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8

松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8

云和新闻综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8

青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8

登封综合频道,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8

方城综合频道,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8

光山综合频道,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8

潢川综合频道,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8

兰考综合频道,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8

临颍综合频道,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8

泌阳综合频道,http://tvpull.dxhmt.cn:9081/tv/11726-1.m3u8

淅川综合频道,http://tvpull.dxhmt.cn:9081/tv/11326-1.m3u8

项城新闻频道,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8

新县综合频道,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8

叶县综合频道,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8

义马综合频道,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8

宝丰综合频道,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8

郏县综合频道,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8

巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8

荥阳综合,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8

嵩县综合新闻,http://tvpull.dxhmt.cn:9081/tv/10325-1.m3u8

新安新闻综合,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8

宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8

温县综合,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8

邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8

新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8

扶沟综合频道,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8

鹿邑新闻频道,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8

西华综合频道,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8

新蔡综合,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8

新乡县电视台,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8

济源电视一套,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8

灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8

滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8

内黄综合频道,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8

禹州综合,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8

呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800

包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800

鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800

巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800

赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800

乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800

姜堰综合频道,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8

金湖综合频道,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8

金坛综合频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8

靖江综合频道,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8

涟水综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8

沛县综合频道,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8

如东新闻频道,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8

沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8

泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8

泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8

宿豫综合频道,https://suyu-tv-hls.cm.jstv.com/suyu-tv/syzhpd.m3u8

睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8

睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8

镇江民生频道,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8

镇江综合频道,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8

佛山公共频道,http://php.jdshipin.com:8880/fstv.php?id=fsgg

佛山影视频道,http://php.jdshipin.com:8880/fstv.php?id=fsys

佛山综合频道,http://php.jdshipin.com:8880/fstv.php?id=fszh

广州综合频道,http://php.jdshipin.com:8880/iptv.php?id=gzzh

东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx

罗江综合频道,http://pull.luojiangrongmei.com/ljds/ljtv.m3u8

什邡综合频道,http://live.sfrmt.com:85/live/zhpd.m3u8

汶川综合频道,http://live.iwcmt.cn:90/live/zhxw.m3u8

五通桥综合频道,https://play.wtqrm.com:443/qtwz/wtqzb.m3u8?auth_key=1663323505-0-0-01843919c015a267038d6e00fd1e1519

宣汉综合频道,http://livexuanhan.chinamcache.com:80/live/push1.m3u8

长宁综合频道,http://cnpull.sccnfb.com/live/123456.m3u8#http://cnpull.sccnfb.com:80/live/123456.m3u8

邯郸科技教育,https://jwcdnqx.hebyun.com.cn/live/hdkj/1500k/tzwj_video.m3u8

昌黎综合频道,https://jwcdnqx.hebyun.com.cn/live/clzhpd/1500k/tzwj_video.m3u8

鹿泉综合频道,https://jwcdnqx.hebyun.com.cn/live/luquanyi/1500k/tzwj_video.m3u8

平泉影视频道,https://jwcdnqx.hebyun.com.cn/live/pqys/1500k/tzwj_video.m3u8

清河新闻频道,https://jwcdnqx.hebyun.com.cn/live/qinghe/1500k/tzwj_video.m3u8

任丘综合频道,https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8

邢台综合频道,https://jwplay.hebyun.com.cn/live/xttv/1500k/tzwj_video.m3u8

兴隆综合频道,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8

枣庄新闻综合,http://stream.zztvzd.com/1/sd/live.m3u8
